"Pyroglutamic acid","C01879","D-Pyroglutamic acid","C02237",1
"Quinovose","C08352","D-Quinovose","C02522",1
"Ribose","C08353","D-Ribose","C00121",1
"Ribulose","C05052","D-Ribulose","C00309",1
"Ribulose","C05052","L-Ribulose","C00508",1
"Serine","C00065","D-Serine","C00740",1
"Serine","C00716","Serine","C00065",1
"Serine","C00716","D-Serine","C00740",1
"Serine","C00716","L-Serine","C00065",1
"Sorbitol","C00794","L-Sorbitol","C01722",1
"Sorbose","C01452","D-Sorbose","C00764",1
"Sorbose","C01452","L-Sorbose","C00247",1
"Tartaric acid","C00898","D-Tartaric acid","C02107",1
"Tartrate","C00898","D-Tartrate","C02107",1
"Tryptophan","C00078","D-Tryptophan","C00525",1
"Tryptophan","C00806","Tryptophan","C00078",1
"Tryptophan","C00806","D-Tryptophan","C00525",1
"Tryptophan","C00806","L-Tryptophan","C00078",1
"Tyrosine","C00082","D-Tyrosine","C06420",1
"Tyrosine","C01536","Tyrosine","C00082",1
"Tyrosine","C01536","D-Tyrosine","C06420",1
"Tyrosine","C01536","L-Tyrosine","C00082",1
"Urobilin","C05794","D-Urobilin","C05795",1
"Urobilin","C05794","L-Urobilin","C05793",1
"Urobilinogen","C05790","D-Urobilinogen","C05791",1
"Urobilinogen","C05790","L-Urobilinogen","C05789",1
"Valine","C16436","D-Valine","C06417",1
"Valine","C16436","L-Valine","C00183",1
"xylo-Hexulose","C01452","D-xylo-Hexulose","C00764",1
"xylo-Hexulose","C01452","L-xylo-Hexulose","C00247",1
"Xylose","C01394","D-Xylose","C00181",1
"Xylose","C01394","L-Xylose","C01510",1
